Sample alias," ""First Fastq File"""," ""Second Fastq File"""
MESO_117,A006850039_110050_S102_L003_1.fq.gz.gpg,A006850039_110050_S102_L003_2.fq.gz.gpg
MESO_118,A006850039_110052_S103_L003_1.fq.gz.gpg,A006850039_110052_S103_L003_2.fq.gz.gpg
MESO_119,A006850039_110054_S104_L003_1.fq.gz.gpg,A006850039_110054_S104_L003_2.fq.gz.gpg
MESO_120,A006850039_110056_S105_L003_1.fq.gz.gpg,A006850039_110056_S105_L003_2.fq.gz.gpg
MESO_121,A006850039_110058_S106_L003_1.fq.gz.gpg,A006850039_110058_S106_L003_2.fq.gz.gpg
MESO_122,A006850039_110060_S107_L003_1.fq.gz.gpg,A006850039_110060_S107_L003_2.fq.gz.gpg
MESO_123,A006850039_110062_S108_L003_1.fq.gz.gpg,A006850039_110062_S108_L003_2.fq.gz.gpg
MESO_124,A006850039_110064_S109_L003_1.fq.gz.gpg,A006850039_110064_S109_L003_2.fq.gz.gpg
MESO_115,A006850039_110066_S110_L003_1.fq.gz.gpg,A006850039_110066_S110_L003_2.fq.gz.gpg
MESO_040,K002000187_80143_1.fq.gz.gpg,K002000187_80143_2.fq.gz.gpg
MESO_043,K002000187_80145_1.fq.gz.gpg,K002000187_80145_2.fq.gz.gpg
MESO_044,K002000187_80147_1.fq.gz.gpg,K002000187_80147_2.fq.gz.gpg
MESO_045,K002000187_80149_1.fq.gz.gpg,K002000187_80149_2.fq.gz.gpg
MESO_046,K002000187_80151_1.fq.gz.gpg,K002000187_80151_2.fq.gz.gpg
MESO_047,K002000187_80153_1.fq.gz.gpg,K002000187_80153_2.fq.gz.gpg
MESO_049,K002000187_80155_1.fq.gz.gpg,K002000187_80155_2.fq.gz.gpg
MESO_050,K002000187_80157_1.fq.gz.gpg,K002000187_80157_2.fq.gz.gpg
MESO_051,K002000187_80159_1.fq.gz.gpg,K002000187_80159_2.fq.gz.gpg
MESO_053,K002000187_80161_1.fq.gz.gpg,K002000187_80161_2.fq.gz.gpg
MESO_055,K002000187_80165_1.fq.gz.gpg,K002000187_80165_2.fq.gz.gpg
MESO_060,K002000187_80167_1.fq.gz.gpg,K002000187_80167_2.fq.gz.gpg
MESO_061,K002000187_80169_1.fq.gz.gpg,K002000187_80169_2.fq.gz.gpg
MESO_063,K002000187_80171_1.fq.gz.gpg,K002000187_80171_2.fq.gz.gpg
MESO_064,K002000187_80173_1.fq.gz.gpg,K002000187_80173_2.fq.gz.gpg
MESO_065,K002000187_80175_1.fq.gz.gpg,K002000187_80175_2.fq.gz.gpg
MESO_041,K002000234_87760_1.fq.gz.gpg,K002000234_87760_2.fq.gz.gpg
MESO_042,K002000234_87764_1.fq.gz.gpg,K002000234_87764_2.fq.gz.gpg
MESO_048,K002000234_87768_1.fq.gz.gpg,K002000234_87768_2.fq.gz.gpg
MESO_052,K002000234_87774_1.fq.gz.gpg,K002000234_87774_2.fq.gz.gpg
MESO_056,K002000234_87776_1.fq.gz.gpg,K002000234_87776_2.fq.gz.gpg
MESO_057,K002000234_87782_1.fq.gz.gpg,K002000234_87782_2.fq.gz.gpg
MESO_058,K002000238_87786_1.fq.gz.gpg,K002000238_87786_2.fq.gz.gpg
MESO_062,K002000238_87790_1.fq.gz.gpg,K002000238_87790_2.fq.gz.gpg
MESO_006,K002000258-9_91850_1.fq.gz.gpg,K002000258-9_91850_2.fq.gz.gpg
MESO_007,K002000258-9_91852_1.fq.gz.gpg,K002000258-9_91852_2.fq.gz.gpg
MESO_009,K002000258-9_91854_1.fq.gz.gpg,K002000258-9_91854_2.fq.gz.gpg
MESO_001,K002000260_91774_1.fq.gz.gpg,K002000260_91774_2.fq.gz.gpg
MESO_002,K002000260_91778_1.fq.gz.gpg,K002000260_91778_2.fq.gz.gpg
MESO_003,K002000260_91782_1.fq.gz.gpg,K002000260_91782_2.fq.gz.gpg
MESO_012,K002000260_91784_1.fq.gz.gpg,K002000260_91784_2.fq.gz.gpg
MESO_010,K002000260_91786_1.fq.gz.gpg,K002000260_91786_2.fq.gz.gpg
MESO_011,K002000260_91788_1.fq.gz.gpg,K002000260_91788_2.fq.gz.gpg
MESO_013,K002000260_91790_1.fq.gz.gpg,K002000260_91790_2.fq.gz.gpg
MESO_014,K002000260_91792_1.fq.gz.gpg,K002000260_91792_2.fq.gz.gpg
MESO_015,K002000260_91794_1.fq.gz.gpg,K002000260_91794_2.fq.gz.gpg
MESO_016,K002000260_91796_1.fq.gz.gpg,K002000260_91796_2.fq.gz.gpg
MESO_017,K002000260_91798_1.fq.gz.gpg,K002000260_91798_2.fq.gz.gpg
MESO_018,K002000260_91800_1.fq.gz.gpg,K002000260_91800_2.fq.gz.gpg
MESO_019,K002000260_91802_1.fq.gz.gpg,K002000260_91802_2.fq.gz.gpg
MESO_020,K002000260_91804_1.fq.gz.gpg,K002000260_91804_2.fq.gz.gpg
MESO_022,K002000260_91806_1.fq.gz.gpg,K002000260_91806_2.fq.gz.gpg
MESO_023,K002000260_91808_1.fq.gz.gpg,K002000260_91808_2.fq.gz.gpg
