,IDAT_ID,EGA_ID,STUDY_ID
1,202053820020_R01C01,EGAN00002805254,MESO_048
2,202053820020_R02C01,EGAN00003143320,MESO_048_T2
3,202053820020_R03C01,EGAN00002805260,MESO_054
4,202053820020_R04C01,EGAN00003143326,MESO_062_T1
5,202053820020_R05C01,EGAN00002805268,MESO_062
6,202053820020_R06C01,EGAN00002805248,MESO_042
7,202053820020_R07C01,EGAN00003143319,MESO_042_T2
8,202053820020_R08C01,EGAN00002828175,MESO_042_N
9,202060330015_R01C01,EGAN00002805218,MESO_012
10,202060330015_R02C01,EGAN00002805259,MESO_053
11,202060330015_R03C01,"	EGAN00002805266",MESO_060
12,202060330015_R04C01,EGAN00003143324,MESO_058_T1
13,202060330015_R05C01,EGAN00002805264,MESO_058
14,202060330015_R06C01,EGAN00003143323,MESO_057_T1
15,202060330015_R07C01,"	EGAN00002805263",MESO_057
16,202060330015_R08C01,EGAN00002828190,MESO_057_N
17,202123800209_R01C01,EGAN00002805253,MESO_047
18,202123800209_R02C01,EGAN00002805271,MESO_065
19,202123800209_R03C01,EGAN00002805247,MESO_041
20,202123800209_R04C01,EGAN00003143318,MESO_041_T2
21,202123800209_R05C01,EGAN00002828174,MESO_041_N
22,202123800209_R06C01,EGAN00002805209,MESO_003
23,202123800209_R07C01,EGAN00002805246,MESO_040
24,202123800209_R08C01,EGAN00003143316,MESO_003_T1
25,202123800217_R01C01,EGAN00003143321,MESO_052_T1
26,202123800217_R02C01,"	EGAN00002805258",MESO_052
27,202123800217_R03C01,"	EGAN00002805210",MESO_004
28,202123800217_R04C01,EGAN00002805265,MESO_059
29,202123800217_R05C01,EGAN00003143325,MESO_059_T2
30,202123800217_R06C01,EGAN00003143315,MESO_002_T1
31,202123800217_R07C01,EGAN00002805208,MESO_002
32,202123800217_R08C01,EGAN00002805249,MESO_043
33,202920680109_R02C01,EGAN00002805311,MESO_107
34,202920680109_R03C01,EGAN00002805257,MESO_051
35,202920680109_R04C01,EGAN00002805224,MESO_018
36,202920680109_R05C01,EGAN00002805212,MESO_006
37,202920680109_R06C01,EGAN00002805262,MESO_056
38,202920680109_R07C01,"	EGAN00002805312",MESO_108
39,202920680109_R08C01,EGAN00002805285,MESO_079
40,202920680146_R01C01,EGAN00002805232,MESO_026
41,202920680146_R02C01,EGAN00002805221,MESO_015
42,202920680146_R03C01,EGAN00002805234,MESO_028
43,202920680146_R04C01,"	EGAN00002805294",MESO_088
44,202920680146_R05C01,EGAN00002805245,MESO_039
45,202920680146_R06C01,EGAN00002805382,MESO_114
46,202920680146_R07C01,"	EGAN00002805217",MESO_011
47,202920680146_R08C01,EGAN00002819037,MESO_098
48,202920680147_R01C01,"	EGAN00002805219",MESO_013
49,202920680147_R02C01,EGAN00002805273,MESO_067
50,202920680147_R03C01,"	EGAN00002805211",MESO_005
51,202920680147_R04C01,EGAN00002805313,MESO_109
52,202920680147_R05C01,EGAN00002805288,MESO_082
53,202920680147_R06C01,EGAN00002805225,MESO_019
